web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,data21,position,image4,image5,image6,image7
1779690344-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Genial,María S,"Me gusta mucho, ya he venido en varias ocasiones,  fui a menú ejecutivo y genial; están atentos x si necesitas algo. La comida muy rica Volveré...",113 contribuciones,113,Escrita el 14 de abril de 2026,113 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/f3/3b/d6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/f3/3b/d5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,,
1779690344-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Caro para la calidad y la cantidad,alvaro,"22€ por un plato con 4 gambas, platos de 10 centimetros de diametro, pedimos arroz que estaba super dulce, imposible acabarselo, pedimos pollo tikka masala y tambien super azucarado y las gambas tambien sabian dulces, hemos llegado a pensar que han llenado el salero con azucar, le pedimos amablemente al camarero que si nos podia dar otra mesa mas dentro del restaurante y nos dijo que estaba lleno cuando habia muchas mesas vacias, al acabar me preguntaron que que tal la comida, le digo que estaba todo muy dulce y me dice gracias….",1 contribución,1,Escrita el 23 de marzo de 2026,"Moraleja, España",,,,,,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,,,,
1779690344-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Extraña visión de la comida india,Richard,"El lugar es agradable, los camareros son agradables, y su precio está bien. Yo tenía el bhaji de cebolla que era agradable. (Al principio se obtienen algunas papas fritas de popadam que están bien). Nuestros platos principales eran un poco extraños: el vindaloo no era picante y era mitad trozos de patata. Así que tienes cuatro cubos de pollo y cuatro cubos de patata. El pollo báltico no sabía como un balti; era más como una salsa de crema por encima. Los yanquis a mi izquierda se quejaron de que su comida no era picante. Y la pareja de indios a mi derecha envió su comida de vuelta, ya que ella dijo que era demasiado dulce y el padre dijo que su hija podría ayudar a mostrarles cómo hacer comida india si les gustaba. Sin embargo, no quiero exagerar - criticar pero no volvería.",19 contribuciones,19,Escrita el 14 de marzo de 2026,"Ciudad de México, México",,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,
1779690344-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Organizacion y servicio deficiente,paula m,"Habiamos reservado una mesa para 4 por internet y cuando llegamos no tenian nada preparado. Nos pusieron en dos mesas pequeñas redondas contra un biombo en medio por donde pasaba todo el mundo. Las sillas incomodas y muy bajas. Estabamos sentadas en linea , no en grupo. Mientras estabamos alli, vimos como una pareja se fue, cansada de esperar y otros grupos tambien llegaron sin tener las mesas preparadas. Era todo muy improvisado y como que se lrs habia ido de las manos. Restsurante para que lo visite CHICOTE por su organizacion. El servicio fue lento y no muy amable aunque la comida estuvo buena. Recomiendo no ir en fines de semana",2 contribuciones,2,Escrita el 8 de marzo de 2026,"Madrid, Spain",,,,,,,,,,,Leer más,0,,,,,,,,,
1779690344-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Regular,Matilde C.,"El restaurante está bien.Es mono,agradable,el
Servicio bueno.
No le pondría un 10 a la comida sin embargo.
Raciones pequeñas y de una calidad regular.Muchas salsas en los platos y poca carne/verdura
El precio/ticket también caro si lo comparamos  con otros restaurantes similares en ubicación,comida,sitio de moda…",3 contribuciones,3,Escrita el 10 de enero de 2026,3 contribuciones,,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,,
1779690344-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Cena de Nochevieja caótica,lucia24022008,"El local está bien y la decoración es mucho verde, plan selva… Bueno, es que nosotros queríamos el Udaipur, pero nos daban mesa en terraza y me cambiaron la reserva a PURNIMA, que no cumplía mis expectativas en cuanto decoración, ubicación y que tenían DJ. 
La comida, abundante y muy buena. La organización mala y caótica, como en la selva… ( como me referí al principio ) los camareros no hablan español y las uvas no las pudimos comer en tiempo real porque NADIE del restaurante organizó tal costumbre española, sin poder verlo en la TV y con tal ruido de música de fondo, que era radio con anuncios, Spotify o una emisora, yo que se!! Que no pudimos celebrar la salida y entrada como llevamos haciendo toda la vida.
Después de las supuestas uvas, la gente se fue yendo y los camareros se pusieron a fregar el suelo y recoger mientras tomábamos una copa y seguíamos nuestra ‘ celebración’",3 contribuciones,3,Escrita el 3 de enero de 2026,"Madrid, España",Música de fondo con anuncios!!!,Consejo:,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,
1779690344-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Buena experiencia,Matt P,"Durante mi visita a Madrid, tuve el placer de cenar en Poornima Indian Restaurant, y la experiencia fue verdaderamente excepcional. La comida era espectacular, sabrosa, bien preparada y muy superior a la cocina india que he probado en los Estados Unidos. La decoración creó un ambiente acogedor pero elegante, haciendo la comida aún más agradable. Lo que más destacó fue la calidez y amabilidad del personal, que hizo que la experiencia gastronómica se sintiera acogedora y memorable. Cada detalle, desde la presentación hasta el servicio, refleja la atención y calidad. Me impresionó tanto que me gustaría calificar este restaurante cinco estrellas. Espero volver a Madrid algún día, solo para disfrutar de la comida excepcional de Poornima de nuevo. - Julie Posner, Nueva York",11 contribuciones,11,Escrita el 19 de noviembre de 2025,"Nueva York, Estado de Nueva York",,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,
1779690344-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Una grata sorpresa,Lara M,La comida abundante y muy rica. Buena calidad relacion precio. El trato estupendo. Acabamos alli por casualidad y repetiremos sin duda.,1 contribución,1,Escrita el 18 de noviembre de 2025,1 contribución,,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,,,
1779690344-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Comida deliciosa,Ana Maria Martín González AA,"Restaurante con una bonita decoración. Es pequeño pero atractivo. La comida me gustó, seguramente por que no estaba picante,al menos los platos q yo tomé. Los camareros Hossein y el resto muy amables. Volveré.",6 contribuciones,6,Escrita el 8 de noviembre de 2025,6 contribuciones,,,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ab/07/c9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ab/07/c8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,,
1779690344-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Terrible experiencia,Bruja C,"Lugar pretensioso.
Todos los comensales estábamos hacinados en la parte de la entrada haciendo imposible la comunicación entre comensales.
Los mismos comensales empujaban otras mesas al moverse por el local.
Música excesivamente alta, no pagan Spotify, anuncios todo el rato.
Menú de Lavapiés y ninguna recomendación por parte del personal.",1 contribución,1,Escrita el 9 de julio de 2025,1 contribución,,,,,,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,,
1779690344-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,el mejor restaurante indio que he visitado,Amaia P,"Ubicado en el centro, muy bonito, con una decoración preciosa, El sistema de reservas funciona muy bien, no hay tiempo de espera porque siempre tienes tu mesa preparada si haces tu reserva y yo lo hago siempre.
La comida buenísima, con o sin picante, mucha variedad de platos y muy bien cocinados.
El servicio estupendo, son muy amables y te aconsejan muy bien con los platos a elegir y las cantidades.
La relacion calidad -precio estupenda",98 contribuciones,98,Escrita el 16 de mayo de 2025,"Bilbao, España",hacer siempre reserva,Consejo:,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/06/87/bb/amaia-p.jpg?w=100&h=-1&s=1,,,,,,
1779690344-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,No es lo que era!,Pepe L.,"No, no lo es. La calidad de los platos ha bajado. No se el motivo ni que puede haber ocurrido. Ayer, después de reservar,  nos dieron una mesa justo a la entrada, tardaron en tomar la comanda y, la amabilidad del personal, desaparecía por momentos. No creo que volvamos.",1662 contribuciones,1662,Escrita el 28 de abril de 2025,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/b7/f4/d9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6f/06/a4/avatar.jpg?w=100&h=-1&s=1,,,,,,
1779690344-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Un hindú de primera,elena,"Muy buena calidad comida/precio, todos estaba riquísimo y los camareros muy amables, para repetir sin duda! Un 10 de 10",6 contribuciones,6,Escrita el 22 de marzo de 2025,6 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6a/46/41/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6a/46/40/caption.jpg?w=300&h=300&s=1,,,,,,,
1779690344-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Nunca he sido tratado tan mal,Suhrit V,"Fui con mi familia al restaurante, y nos trataron indiferente por el personal, ya que nos guiaron a una mesa en la parte trasera y se olvidaron de nosotros. Después de veinte minutos, ni siquiera había pasado un camarero a pedir bebidas, cuando mi padre le pidió que viniera, y otros diez minutos más tarde de nadie. En este punto, teníamos mucha hambre, y mi padre volvió a pedir a alguien que recibiera las órdenes, cuando el camarero jefe nos pidió que nos fuéramos. Horrorizado por la falta de cortesía y decencia básica en este lugar.",1 contribución,1,Escrita el 14 de marzo de 2025,1 contribución,,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,
1779690344-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Trato fatal.,Odyssey14105783168,"Después de confirmar asistencia y personados en el local, no nos dejan entrar con un perro de 13 kg, habiendo estado las Nocheviejas del 23 y 24  con reserva de 7 personas y el perrito.  El encargado, fatal. No volveremos.",3 contribuciones,3,Escrita el 6 de enero de 2025,3 contribuciones,"No vayáis con perro, dependiendo del encargado té dirán….hoy si, hoy no un",Consejo:,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,,,
